0x00000000,0x00000001,0x00000001,0x00000001,0x0000000A,0x0000000B,0x00000002,0x00000002,0x0000000C,0x0000000D,0x00000001,0x00000001,0x00000002,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000002,0x00000002,0x00000002,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000000,0x00000004,0x00000004,0x00000004,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000000,0x00000005,0x00000005,0x00000005,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000002,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000000,0x00000001,0x00000001,0x00000001,0x00000000,
