0x00000000,0x00000016,0x00000016,0x00000016,0x00000016,0x00000001,0x00000002,0x00000002,0x00000001,0x00000016,0x00000016,0x00000016,0x00000016,0x00000016,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000006,0x00000007,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000008,0x00000009,0x00000001,0x00000001,0x00000002,0x00000002,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000029,0x00000002,0x00000002,0x00000002,0x00000002,0x0000002A,0x0000002B,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000001,0x00000029,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x0000002B,0x00000000,
0x0000002D,0x0000002E,0x0000002E,0x0000002E,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x0000002E,0x0000002D,
0x0000002D,0x0000002F,0x0000002F,0x0000002F,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x0000002F,0x0000002D,
0x0000002D,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002D,
0x0000002D,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002D,
0x0000002D,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002D,
0x0000002D,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002D,
0x0000002D,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002D,
