0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x0000004B,0x00000000,0x00000001,0x00000039,0x0000002A,0x0000002A,
0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x0000004C,0x00000004,0x00000000,0x00000001,0x00000001,0x00000039,
0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x00000038,0x00000005,0x00000004,0x00000000,0x00000001,0x00000001,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000039,0x0000002A,0x00000038,0x00000001,0x00000001,0x00000005,0x00000004,0x00000000,0x00000001,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000005,0x00000004,0x00000000,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000005,0x00000004,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000005,
0x00000003,0x00000003,0x00000003,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,
0x0000002A,0x0000002A,0x0000003F,0x00000040,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,
0x00000058,0x00000059,0x00000043,0x00000044,0x0000002B,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,
0x0000005C,0x0000005D,0x00000043,0x00000044,0x0000002A,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,
0x00000045,0x00000046,0x00000043,0x00000044,0x0000002A,0x0000002B,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,
0x00000045,0x00000046,0x00000043,0x00000044,0x0000002A,0x0000002A,0x0000002B,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000006,0x00000007,0x00000001,
0x00000045,0x00000046,0x00000043,0x00000044,0x0000002A,0x0000002A,0x0000002A,0x0000002B,0x00000001,0x00000001,0x00000001,0x00000001,0x00000008,0x00000009,0x00000001,
0x00000045,0x00000046,0x00000043,0x00000044,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002B,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,
0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,
