0x0000002A,0x0000002A,0x00000038,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x0000004B,0x0000004B,0x0000004B,0x0000004B,
0x0000002A,0x00000038,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000004,0x0000004C,0x0000004C,0x0000004C,0x0000004C,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000004,0x00000005,0x00000029,0x0000002A,0x0000002A,0x0000002A,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000004,0x00000005,0x00000001,0x00000000,0x00000017,0x00000018,0x00000000,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000004,0x00000005,0x00000001,0x00000029,0x00000000,0x00000019,0x0000001A,0x00000000,
0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000005,0x00000001,0x00000029,0x0000002A,0x00000000,0x00000000,0x00000000,0x00000000,
0x00000005,0x00000005,0x00000005,0x00000005,0x00000005,0x00000005,0x00000005,0x00000001,0x00000001,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000039,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000039,0x0000002A,0x0000002A,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000039,0x0000002A,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000039,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000029,0x0000002A,0x0000002A,0x0000002B,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,
0x00000001,0x00000001,0x00000001,0x00000001,0x00000029,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002B,0x00000001,0x00000001,0x00000001,
0x00000001,0x00000001,0x00000001,0x00000029,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002B,0x00000001,0x00000001,
0x00000001,0x00000001,0x00000029,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002B,
0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,0x00000004,
