0x00000000,0x00000001,0x00000001,0x00000002,0x00000002,0x0000002B,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x00000000,0x00000001,0x00000029,0x00000002,0x00000002,0x0000002A,0x0000002A,0x0000002B,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,
0x0000002D,0x0000002E,0x0000002E,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002E,0x0000002E,0x0000002E,0x0000002E,0x0000002E,0x0000002E,0x0000002E,0x0000002D,
0x0000002D,0x0000002F,0x0000002F,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002F,0x0000002F,0x0000002F,0x0000002F,0x0000002F,0x0000002F,0x0000002F,0x0000002D,
0x0000002D,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002D,
0x0000002D,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002E,
0x0000002D,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002F,
0x0000002D,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x00000030,0x00000031,
0x0000002D,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x0000002A,0x00000030,0x00000031,0x00000032,0x00000033,
0x0000002D,0x0000002A,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002A,0x0000002A,0x0000002A,0x00000030,0x00000031,0x00000032,0x00000033,0x00000033,0x00000033,
0x0000002D,0x0000002A,0x0000002A,0x0000002A,0x0000002C,0x0000002C,0x0000002A,0x00000030,0x00000031,0x00000032,0x00000033,0x00000033,0x00000037,0x00000033,0x00000033,
0x0000002D,0x0000002A,0x0000002A,0x0000002A,0x00000035,0x00000035,0x00000031,0x00000032,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,
0x0000002E,0x0000002A,0x0000002A,0x00000030,0x00000035,0x00000035,0x00000033,0x00000033,0x00000037,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,
0x0000002F,0x00000030,0x00000031,0x00000032,0x00000035,0x00000035,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,
0x00000031,0x00000032,0x00000033,0x00000033,0x00000035,0x00000035,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,
0x00000033,0x00000033,0x00000033,0x00000033,0x00000035,0x00000035,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,0x00000033,
